MAIN.PRIVATE_GAME	Jogo privado
MAIN.PUBLIC_GAME	Jogo público
MAIN.JOIN_FRIEND	Entrar com amigo
MAIN.SINGLEPLAYER	Solo
MAIN.TUTORIAL	Tutorial
MAIN.SETTINGS	Configurações
MAIN.QUIT_GAME	Sair do jogo
POPUP.PRIVATE_GAME.HEADER	Hospedar jogo
POPUP.PRIVATE_GAME.BODY	O amigo com o melhor computador\ndeve hospedar.\n\nEsse amigo é você?
POPUP.PRIVATE_GAME.OPT1	Haha, sou eu!  :)
POPUP.PRIVATE_GAME.OPT2	Eu não...  :'(
POPUP.PUBLIC_GAME.HEADER	Aviso
POPUP.PUBLIC_GAME.BODY	Ao jogar com pessoas aleatórias, você pode encontrar trapaceiros ou gente bem escrota...
POPUP.PUBLIC_GAME.OPT1	Entendi
POPUP.PUBLIC_GAME.OPT2	Não, valeu :(
POPUP.QUIT_GAME.HEADER	Sair do jogo
POPUP.QUIT_GAME.BODY	Fechar o aplicativo inteiro?
POPUP.QUIT_GAME.OPT1	Sim
POPUP.QUIT_GAME.OPT2	Não
POPUP.SELF_DESTRUCT.HEADER	Autodestruição
POPUP.SELF_DESTRUCT.BODY	É isso mesmo?
POPUP.SELF_DESTRUCT.OPT1	Acabou pra mim
POPUP.SELF_DESTRUCT.OPT2	Não
SAVES.GO_BACK	< Voltar
SAVES.NEW_GAME	Novo jogo
SAVES.SINGLEPLAYER_MODE	Modo solo
SAVES.MULTIPLAYER_MODE	Modo multiplayer
SAVES.HEADER	Jogos salvos
SAVES.PAGE_INFO.HEADER	Jogos salvos
SAVES.PAGE_INFO.DESCRIPTION	Aqui está toda a diversão que você já teve e a chance de continuar exatamente de onde parou.
SAVES.SAVE_INFO.DELETE_SAVE	Excluir save
SAVES.SAVE_INFO.LOAD_SAVE	Carregar save
SAVES.SAVE_INFO.USE_BACKUP	Usar backup
SAVES.SAVE_INFO.CURRENT_MOON	Lua atual:
POPUP.MAIN_MENU.OPT1	Sim
POPUP.MAIN_MENU.BODY	Sair para o menu principal?
POPUP.MAIN_MENU.HEADER	Menu principal
SAVES.SAVE_INFO.TOTAL_HAUL	Total arrecadado:
POPUP.LOAD_SAVE.HEADER	Carregar save
POPUP.LOAD_SAVE.BODY	Carregar este arquivo de save?
POPUP.LOAD_SAVE.OPT1	Sim!
POPUP.LOAD_SAVE.OPT2	Não
POPUP.DELETE_SAVE.HEADER	Excluir save
POPUP.DELETE_SAVE.BODY	Você tem CERTEZA ABSOLUTA de que quer excluir este save PARA SEMPRE?
POPUP.DELETE_SAVE.OPT1	Sim! :')
POPUP.DELETE_SAVE.OPT2	Não...
POPUP.USE_BACKUP.HEADER	Restaurar backup
POPUP.USE_BACKUP.BODY	Substituir este save pelo backup mais recente?\n\nIsso é irreversível!
POPUP.USE_BACKUP.OPT1	Sim!
POPUP.USE_BACKUP.OPT2	Não
REGIONS.HEADER	Regiões
REGIONS.BACK	Voltar
REGIONS.REGION.PICK_BEST_REGION	Escolher melhor região
REGIONS.REGION.ASIA	Ásia
REGIONS.REGION.AU	Austrália
REGIONS.REGION.CAE	Canadá Leste
REGIONS.REGION.CN	China Continental
REGIONS.REGION.EU	Europa
REGIONS.REGION.HK	Hong Kong
REGIONS.REGION.IN	Índia
REGIONS.REGION.JP	Japão
REGIONS.REGION.ZA	África do Sul
REGIONS.REGION.SA	América do Sul
REGIONS.REGION.KR	Coreia do Sul
REGIONS.REGION.TR	Turquia
REGIONS.REGION.UAE	Emirados Árabes Unidos
REGIONS.REGION.US	EUA Leste
REGIONS.REGION.USW	EUA Oeste
REGIONS.REGION.USSC	EUA Centro-Sul
SAVES.SAVE_INFO.SORRY	Foi mal!
SAVES.SAVE_INFO.PRESS_DELETE	Aperte "Excluir save" para excluir \na pasta inteira de saves.
SAVES.SAVE_INFO.PLAYER_LIST	{players:list:{}|,   |   e   }
SAVES.SAVE_INFO.CORRUPTED_SAVE_FILE	Arquivo de save corrompido
SAVES.SAVE_FILE.UH_OH	Ih, deu ruim!
SAVES.SAVE_FILE.CORRUPTED_SAVE_FILE	Arquivo de save corrompido
SAVES_RENAME.RENAME_SAVE	Renomear save
SAVES_RENAME.BACK	Voltar
SAVES_RENAME.CONFIRM	Confirmar
SAVES.SAVE_INFO.CLICK_TO_RENAME	(Clique para renomear)
SETTINGS.HEADER	Configurações
SETTINGS.GAMEPLAY	Jogabilidade
SETTINGS.GRAPHICS	Gráficos
SETTINGS.AUDIO	Áudio
SETTINGS.CONTROLS	Controles
SETTINGS.LANGUAGE	Idioma
SETTINGS.BACK	Voltar
SETTINGS.BOOL.ON	Ligado
SETTINGS.BOOL.OFF	Desligado
SETTINGS.BOOL.TOGGLE	Alternar
SETTINGS.BOOL.HOLD	Segurar
SETTINGS.GAMEPLAY.HEADER	Jogabilidade
SETTINGS.GAMEPLAY.RESET_TO_DEFAULT_SETTINGS	Restaurar configurações padrão
SETTINGS.GAMEPLAY.TIPS	Dicas
SETTINGS.GAMEPLAY.PLAYER_NAMES	Nomes dos jogadores
SETTINGS.GAMEPLAY.PHOTOSENSITIVITY	Fotossensibilidade
SETTINGS.GAMEPLAY.ARACHNOPHOBIA	Aracnofobia
SETTINGS.GAMEPLAY.AIM_SENSITIVITY	Sensibilidade da mira
SETTINGS.GAMEPLAY.CAMERA_SMOOTHING	Suavização da câmera
SETTINGS.GAMEPLAY.CAMERA_SHAKE	Tremor da câmera
SETTINGS.GAMEPLAY.CAMERA_NOISE	Ruído da câmera
SETTINGS.GAMEPLAY.CAMERA_ANIMATION	Animação da câmera
SETTINGS.GAMEPLAY.INVERT_VERICAL_AIM	Inverter mira vertical
SETTINGS.GAMEPLAY.ITEM_UNEQUIP_AUTO_HOLD	Segurar ao desequipar item automaticamente
SETTINGS.GAMEPLAY.RICH_PRESENCE	Presença no Steam
SETTINGS.GAMEPLAY.COSMETICS	Cosméticos
SETTINGS.GRAPHICS.RESET_TO_DEFAULT_SETTINGS	Restaurar configurações padrão
SETTINGS.GRAPHICS.WINDOW_MODE	Modo de janela
SETTINGS.GRAPHICS.VSYNC	VSync
SETTINGS.GRAPHICS.GAMMA	Gama
SETTINGS.GRAPHICS.MAX_FPS	FPS máximo
SETTINGS.GRAPHICS.LIGHT_DISTANCE	Distância da luz
SETTINGS.GRAPHICS.SHADOW_QUALITY	Qualidade das sombras
SETTINGS.GRAPHICS.SHADOW_DISTANCE	Distância das sombras
SETTINGS.GRAPHICS.MOTION_BLUR	Desfoque de movimento
SETTINGS.GRAPHICS.LENS_DISTORTION	Distorção da lente
SETTINGS.GRAPHICS.BLOOM	Bloom
SETTINGS.GRAPHICS.CHROMATIC_ABERRATION	Aberração cromática
SETTINGS.GRAPHICS.GRAIN	Granulação
SETTINGS.GRAPHICS.GLITCH_LOOP	Loop de glitch
SETTINGS.GRAPHICS.PIXELATION	Pixelização
SETTINGS.AUDIO.HEADER	Áudio
SETTINGS.AUDIO.RESET_TO_DEFAULT_SETTINGS	Restaurar configurações padrão
SETTINGS.AUDIO.MASTER_VOLUME	Volume geral
SETTINGS.AUDIO.MUSIC_VOLUME	Volume da música
SETTINGS.AUDIO.PROXIMITY_VOICE_VOLUME	Volume da voz por proximidade
SETTINGS.AUDIO.MICROPHONE	Microfone
SETTINGS.AUDIO.MICROPHONE_VOLUME	Volume do microfone
SETTINGS.AUDIO.PUSH_TO_TALK	Apertar para falar
SETTINGS.CONTROLS.HEADER	Controles
SETTINGS.CONTROLS.RESET_TO_DEFAULT_SETTINGS	Restaurar configurações padrão
SETTINGS.CONTROLS.MOVEMENT	Movimento
